1286	29666
13382	27166
12971	12905
19605	18208
25757	21885
7359	2960
16282	14114
31890	17587
5175	25097
10985	915
30263	3372
14723	19220
6568	11506
24434	3191
1315	29878
10828	30783
3641	22545
32037	10335
7745	2196
23252	14518
24692	17871
10113	4673
11983	32217
1270	2737
25065	3650
21219	14656
155	418
2403	10116
1069	16862
25344	3986
17791	31799
29628	5306
17841	23268
27195	9574
23805	31141
28347	26410
7807	9016
14803	32226
31435	31827
18708	5671
23291	15472
10115	2756
6860	5431
30837	30026
12039	7380
15795	16318
16796	26810
9666	9415
27020	27518
3218	17732
27798	8610
30130	1771
814	24517
16287	25325
30212	9642
7499	10091
221	19423
11152	13878
1576	19804
32516	11519
31133	5358
30737	26770
11904	8213
17551	16871
8362	18983
19791	19963
18538	25435
16059	30407
17732	27016
29652	4746
20768	9590
15509	25221
7092	22917
15353	916
16474	23371
20968	1523
30566	8332
23618	18342
4595	22079
15502	3889
9105	11729
6370	16252
23059	5831
6747	19112
16100	27281
20120	16392
15905	5906
4500	22032
11083	19309
22545	9973
4382	4139
6715	18701
4898	17085
13507	27028
9484	23455
4448	19225
12261	11457
24872	31285
25740	14484
22878	11665
28203	844
22229	28149
1067	7751
20874	4141
22523	12646
1868	13031
20210	30109
20270	15522
15135	23702
13045	17371
7412	27723
18335	4960
19904	1189
3696	18670
23305	6541
9275	12516
7274	21535
27769	29096
25941	7869
26488	30602
5800	1995
3557	11720
577	28625
10466	28360
22241	31119
2372	9982
12510	28059
18209	28649
8677	32041
24628	8993
10667	20368
15574	3011
13511	14976
24897	8002
10622	11629
9002	21526
24848	27238
13741	20083
24894	22592
10394	18580
22276	20230
4847	2178
15360	22649
30390	10299
14739	29117
812	7324
1254	21771
5509	20682
10564	23398
14566	10720
